draw,grid_point_index,grid_point_id,shift_index,centroid_time_shift_s,centroid_time,centroid_lat,centroid_lon,centroid_depth_km,offset_north_m,offset_east_m,on_grid_edge,space_time_cell_weight,space_time_cell_n_draws,dc_percent,clvd_percent,iso_percent,moment_Nm,Mw,NP1_strike_deg,NP1_dip_deg,NP1_rake_deg,NP2_strike_deg,NP2_dip_deg,NP2_rake_deg
1,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60571383472023,-5.321256082007497,-12.073030083272275,1.0741163504024389e+18,5.987367551697898,289.4148160912398,79.17753118364202,115.62104292613809,40.796642098020314,27.670070050202558,23.849682002246976
2,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.74908785930874,-5.275636837069092,-11.975275303622162,1.0725242189861289e+18,5.98693807193296,289.383440804432,79.16392067916858,115.64233310775427,40.77089040514257,27.69450419344025,23.860549597202635
3,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.56399642269503,-5.356438139936795,-12.079565437368169,1.0746454943534566e+18,5.98751014811345,289.3644226287555,79.17570698400284,115.62681531948189,40.744462306787455,27.676014594442098,23.848888905319104
4,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.49998166965925,-5.403626514723012,-12.096391815617748,1.0743822543858479e+18,5.987439217640518,289.38745206137764,79.17846779392245,115.60578545245114,40.780904875564275,27.655774394657833,23.859574905136462
5,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.5856457511781,-5.287098690839895,-12.127255557982005,1.0744441481465139e+18,5.987455896585948,289.3776234891273,79.1830318839616,115.63501862199796,40.73752112875764,27.68084895497996,23.82788320063055
6,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.56090932432207,-5.342548368875368,-12.096542306802556,1.0747683688545459e+18,5.987543250916503,289.3796898820527,79.16226669381453,115.63071763488263,40.78018801311835,27.684485305722937,23.872819409030065
7,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.66096214887637,-5.306679048691884,-12.032358802431748,1.0738479692506719e+18,5.9872952001212285,289.39546307824156,79.18584980585344,115.6524630089968,40.73519827061499,27.695781714859145,23.80881006354288
8,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.3505740115177,-5.39320986423485,-12.256216124247457,1.076592405623493e+18,5.988034207959605,289.3613700862965,79.1639319876358,115.59209184334607,40.792595141114695,27.64855966100916,23.899313325154303
9,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.5788034603548,-5.352477819913314,-12.068718719731882,1.0745828707211674e+18,5.987493275640587,289.4208522714307,79.19281970088515,115.65074945407318,40.74970626847983,27.691678201799235,23.796158116495246
10,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.49537639924525,-5.392653984919754,-12.111969615835006,1.0752444754475845e+18,5.987671479899,289.37768129880834,79.17706849389718,115.64343071166621,40.74084844666333,27.69071603682815,23.83335875644997
11,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.56966059662214,-5.391034824809044,-12.03930457856881,1.074139925974174e+18,5.98737390645847,289.39887514194055,79.18385938487549,115.65250815745138,40.74210291565221,27.696547385729446,23.812764157974332
12,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.51052185641414,-5.354503340961872,-12.13497480262399,1.0745822853315884e+18,5.987493117916421,289.3974192498727,79.15958794655134,115.62063797264953,40.81145530995481,27.67624619546721,23.88596649199297
13,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.49740609805202,-5.233958579784617,-12.268635322163357,1.0766724540633774e+18,5.988055734709609,289.3540239379363,79.16975811444172,115.62843681895828,40.74321263380201,27.679666698105233,23.85956403982376
14,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.59100988877988,-5.311524148427859,-12.097465962792255,1.0743407753838039e+18,5.9874280394654145,289.39008394552553,79.17308972633347,115.6450959178562,40.758862917782025,27.693688762190884,23.840049725242075
15,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.41026264511211,-5.444587105769419,-12.145150249118464,1.0752590596067528e+18,5.987675406929575,289.4024746814202,79.17011047648731,115.60949575588421,40.807540316621846,27.662216722494758,23.87347276627867
